A_NUMBER,SOURCE_ID,GRADE,PLACE_NAME,PLAIN_DUTCH_WHAT_IS_IT,PRIORITY_PERSONS,PERSON_WAS_PHYSICALLY_HERE,LINK_TYPE,WHAT_HAPPENED_HERE_EXACTLY,EXACT_SUBPLACE_MARK_SHOULD_SEEK,WHY_MARK_WOULD_CARE,ORIGINAL_A_OR_A_PLUS_REASON,ORIGINAL_PROVENANCE_FILES_OR_COMMENTS,EVIDENCE_STRENGTH,CONTEMPLATIVE_DWELL_RECOMMENDATION,PRESENTATION_WARNING
A001,KUM-03,A+,Hotel Evelyn (Nainital),"Historisch hotel aan Mall Road in Nainital (familie Sah), nu de slaapbasis; geen tempel of ashram, gewoon een hotel met een geschiedenis.",Ram Dass (Richard Alpert); indirect Neem Karoli Baba (Maharajji),YES,REPEATED_VISIT_SITE; EXACT_RESIDENCE (tijdelijk),"Zomer 1970 en opnieuw september-november 1971 (zeven weken) verbleven hier ca. twintig westerse devotees, onder wie Ram Dass' eigen kring, terwijl dagelijks naar Kainchi Dham werd gereisd voor darshan bij Neem Karoli Baba. Eigendom van familie Sah.","Het gebouw/terras zelf als geheel; GEEN specifieke 'Ram Dass-kamer' claimen - niet bewezen, mag niet worden verzonnen.",Slapen in hetzelfde fysieke gebouw waar Ram Dass' eigen kring verbleef tijdens de Kainchi-darshanperiode - een direct fysiek contactpunt met het begin van het hele Neem Karoli Baba/Ram Dass-verhaal in het Westen.,Kumaon-reconciliatie: 'Ram Dass biographical resonance for Mark'; DECISION_LEDGER DL-0025; HOTEL_EVELYN_DUAL_CLOSURE_RECONCILIATION_2026-08-23.md.,"runs/active/TOP11-NKB-RAMDASS-V2-PRE-EXTERNAL-001/RAM_DASS_V2_PRE_EXTERNAL_FREEZE.md (record 3, bron: ashramsofindia.com); runs/active/INDIA8-MARK-CLUSTER-DECISIONS-2026-08-20/HOTEL_EVELYN_DUAL_CLOSURE_RECONCILIATION_2026-08-23.md; KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md.","MODERATE - secundaire devotee-reisbron (ashramsofindia.com), niet Ram Dass' eigen primaire tekst (Be Here Now noemt het hotel zelf niet bij naam); exacte kamer/verdieping onbevestigd.","Kort, 30-45 min gebouw/terras-sfeer; dit is vooral de slaapbasis, geen bedevaartsdoel op zich.","Geen - huidige kaart doet dit al correct (geen kamer-claim). Wel toevoegen: expliciet noemen dat dit de basis was voor de dagelijkse darshan-tochten naar Kainchi, niet alleen 'historisch hotel'."
A002,KUM-04,A+,Naini Lake circumambulation walk (Nainital),"Volledige wandelroute rond het Naini-meer in Nainital, ca. 3,2-3,5 km.",Geen,UNKNOWN,INDIRECT_CONTEXT,Geen gedocumenteerde gebeurtenis met een van Marks prioriteitspersonen; algemene Nainital-belevenis.,N.v.t. - de hele lus is het doel.,Signatuurwandeling van Nainital en een rustige acclimatisatiedag na de nachttrein; geen persoonsverband nodig om waardevol te zijn.,KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md: signature Nainital experience.,KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md; KUMAON_WALKING_BOARD_2026-08-25.md.,N.v.t. (geen persoonsclaim beoogd).,"55-75 min wandeling, ochtend geprefereerd.",Geen - correct gepresenteerd als scenisch/ervaringsgericht zonder persoonslink; geen verborgen reden hier.
A003,KUM-08,A,Hanuman Garhi + Maharajji-kuti (Nainital),"Hanuman-tempel op de heuvel boven Nainital, met op hetzelfde terrein een kuti (kleine kluizenaarskamer/verblijfsruimte) die met Neem Karoli Baba (Maharajji) wordt geassocieerd.",Neem Karoli Baba (Maharajji),PROBABLY,"EXACT_RESIDENCE (kuti, waarschijnlijk); REPEATED_VISIT_SITE; TRADITION_CLAIM","Devotee-traditie plaatst een eigen kuti/verblijfplek van Neem Karoli Baba op dit Hanuman-tempelterrein boven Nainital. Project-intern onderzoek (NEEM_KAROLI_BABA_V2_PRE_EXTERNAL_FREEZE.md) classificeerde dit aanvankelijk als ONZEKER/ALLEEN_PLAATS ('genoemd als aan hem gelieerde locatie, geen aparte gebeurtenis gevonden'); een latere externe reconciliatie-pas verhoogde dit naar JA/EXACT, maar expliciet als PLAUSIBLE, niet CONFIRMED (onderliggende externe bron niet zelf natrokken).","De Maharajji-kuti zelf (indien aangewezen/toegankelijk) - dit is het eigenlijke doelpunt, niet de Hanuman-tempel als zodanig.","Dit is precies het voorbeeld dat de governance-regel noemt: als dit alleen als 'Hanuman-tempel' wordt gepresenteerd, verdwijnt de eigenlijke reden - een (waarschijnlijke) directe Neem Karoli Baba-verblijfplek boven Nainital.",KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md: 'Neem Karoli Baba devotional relevance layered onto a Nainital hill temple'.,"runs/active/TOP11-NKB-RAMDASS-V2-PRE-EXTERNAL-001/NEEM_KAROLI_BABA_V2_PRE_EXTERNAL_FREEZE.md record 19 (intern ONZEKER) + CCI_TASK 091-delta (extern opgehoogd naar JA/EXACT, 'PLAUSIBLE, niet CONFIRMED'); runs/active/TOP11-NKB-RAMDASS-EXTERNAL-RECONCILIATION-001/NEEM_KAROLI_BABA_RECONCILIATION.md.",ZWAK-MATIG - eigen project-onderzoek zelf classificeerde dit oorspronkelijk als onzeker; de externe bevestiging is niet zelfstandig geverifieerd binnen dit project.,"30-60 min, inclusief stille tijd bij de kuti indien aangewezen/toegankelijk.","BELANGRIJK (dit is het voorbeeld uit de dispatch zelf): huidige kaart noemt 'Hanuman Garhi' eerst en de kuti als bijzaak. Herformuleer zodat de Maharajji-kuti het primaire doelpunt is en de Hanuman-tempel de secundaire, gastheer-context. Vermeld ook expliciet de matige bewijssterkte (PLAUSIBLE, niet CONFIRMED)."
A004,KUM-05,A+,Kainchi Dham,"Ashram- en tempelcomplex van Neem Karoli Baba bij Kainchi, gewijd aan Hanuman.",Neem Karoli Baba (Maharajji); Ram Dass,YES,PERSON_FOUNDED_SITE; EXACT_RESIDENCE; EXACT_MEETING_INITIATION_SITE (Ram Dass); EXACT_TEACHING_SITE,"Neem Karoli Baba stichtte/opende dit ashram op 15 juni 1964 en bracht hier zijn laatste levensdecennium door. Dit is zeer waarschijnlijk (via Ram Dass' eigen 'Be Here Now', bevestigd door een onafhankelijke tweede bron - een fotobijschrift in 'Being Ram Dass', 2021: 'Ram Dass and his teacher Maharaj-ji in Kainchi, India') de plek van Ram Dass' beroemde eerste ontmoeting met Maharajji in 1967, inclusief de 'je moeder is overleden'-episode en het krijgen van de naam 'Ram Dass'. Ram Dass keerde in het najaar van 1971 zeven weken terug voor dagelijkse darshan, gebaseerd vanuit Hotel Evelyn (A001).","De Hanuman-tempel/ashramkern; Maharajji's eigen kutir/kamer; de rivieroever waar devotees (incl. Ram Dass, per Be Here Now) baadden.",Dit is letterlijk de bronlocatie van het hele Neem Karoli Baba/Ram Dass-verhaal dat vermoedelijk (mede) de reden is dat dit hele Kumaon-cluster op de reis staat.,KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md: 'core personal-devotional anchors of Kumaon'; DECISION_LEDGER DL-0023; STABLE_SOURCE_ID LEGACY-KAINCHI_EXISTING (permanente registry).,"runs/active/TOP11-NKB-RAMDASS-V2-PRE-EXTERNAL-001/NEEM_KAROLI_BABA_V2_PRE_EXTERNAL_FREEZE.md record 5 (EXACT); RAM_DASS_V2_PRE_EXTERNAL_FREEZE.md record 2 + CCI_TASK-090-delta (Be Here Now volledige tekst, regel 1093-1180/1273, plus tricycle.org fotobijschrift-bevestiging).",STERK voor NKB's stichting/verblijf (meerdere onafhankelijke instellings- en Wikipedia-bronnen); MATIG-STERK voor het Ram Dass-eerste-ontmoetingsverhaal (Be Here Now beschrijft de scène zonder de naam 'Kainchi' te gebruiken; naam bevestigd via een tweede onafhankelijke bron).,"Lang, ongehaast (project beschermt dit al als 'niet een getimede fotostop'); minimaal 60-90 min stille aanwezigheid naast bezichtiging.","MATIG - huidige kaart ('ashram... core personal-devotional anchor') is correct maar generiek; voeg het concrete Ram Dass-eerste-ontmoetingsverhaal (naam ontvangen, moeder-episode) expliciet toe als WAAROM, niet alleen 'devotional anchor'."
A005,KUM-07,A,Bhumiadhar,Klein ashram/Hanuman-tempelplekje dichtbij Kainchi Dham.,Neem Karoli Baba (Maharajji),YES,PERSON_FOUNDED_SITE; EXACT_RESIDENCE (inwijding),Grond geschonken aan Maharajji door Pooran Singh (zoon van Thakur Padam Singh) op 11-12-1961; het ashram/de Hanuman-tempel werd persoonlijk door Maharajji ingewijd in 1967.,Het ashram-/tempelgebouw zelf.,"Maharajji wijdde dit ashram persoonlijk in - een concreet, gedateerd stichtingsmoment, geen vage 'Maharajji-era sfeer'.",KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md; gebundeld met Kainchi als 'Neem Karoli Baba-era relevance'.,runs/active/TOP11-NKB-RAMDASS-V2-PRE-EXTERNAL-001/NEEM_KAROLI_BABA_V2_PRE_EXTERNAL_FREEZE.md record 6 (bron: nkbmeditation.org).,MATIG - één bron (nkbmeditation.org) voor het stichtings-/inwijdingsfeit; onafhankelijk niet dubbel bevestigd in dit project.,"30-45 min, past binnen hetzelfde dagblok als Kainchi.","MATIG - huidige kaart ('Neem Karoli Baba-era locality/site... adds real Maharajji-era context') is vaag; vervang door het concrete feit dat Maharajji dit ashram zelf persoonlijk inwijdde in 1967. LET OP - ONOPGELOST BRONCONFLICT: governance/A_PLUS_MARK_DECISION_LOG.md noemt Bhumiadhar zelf als de plek 'waar Ram Dass Neem Karoli Baba volgens de projectprovenance voor het eerst ontmoette' - dit is in tegenspraak met het Ram Dass/NKB-brononderzoek (Be Here Now + Kainchi-fotobevestiging), dat de eerste ontmoeting bij Kainchi Dham (A004) plaatst. Dit conflict is NIET opgelost in dit project en moet niet stilzwijgend worden gladgestreken - zie gaps-bestand."
A006,KUM-09,A,Dhokaney Waterfall,Korte wandeling naar een waterval op de route tussen Nainital en Dunagiri.,Geen,UNKNOWN,INDIRECT_CONTEXT,Geen gedocumenteerde persoonsgebeurtenis; natuur-/algemeen-reizigerswaarde op een transferdag.,N.v.t.,Natuurinhoud tijdens een anders zware overstapdag; geen persoonslink nodig.,KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md.,KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md.,N.v.t.,30-45 min wandeling.,"Geen - correct als natuur-bycatch gepresenteerd, geen verborgen persoonslink gevonden."
A007,KUM-11,A,Dunagiri Temple / Maa Dunagiri Vaishnavi Temple,Levende Devi-tempel (Vaishnavi) op de berg Dunagiri.,Geen (van Marks kernpersonen),UNKNOWN,INDIRECT_CONTEXT,"Oude, algemeen vereerde Devi-tempel; geen gedocumenteerd verband met Mahavatar Babaji, Lahiri Mahasaya of andere kernpersonen gevonden in dit project of in AOAY zelf - de tempel deelt alleen de bergnaam/regio met de nabijgelegen Babaji-grot.",N.v.t.,"Voegt de lokale heilige geografie rond de Babaji-pelgrimage toe, zonder zelf een kernpersoonslocatie te zijn - eerlijk zo gepresenteerd.",KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md: 'local sacred-site relevance in the Dunagiri/Babaji pilgrimage world'.,KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md.,N.v.t. voor persoonsclaim (geen claim gedaan).,30-45 min.,"Geen - de bestaande kaart is al eerlijk: 'indirect Kriya geography... direct AOAY anchor nearby is Mahavatar Babaji's Cave, not this temple itself'. Geen verborgen sterkere reden gevonden."
A008,KUM-12,A,Babaji Smriti Bhavan,"Een door devotees gebouwde herdenkingshal/gedenkgebouw voor Mahavatar Babaji, vlak bij de grot.",Mahavatar Babaji (traditie),NO_DIRECT_PRESENCE,MODERN_MEMORIAL_ONLY,"Dit is een modern gedenkgebouw ('Smriti Bhavan' = herdenkingshal), gebouwd door devotees ter ere van Mahavatar Babaji naast de grot; het is GEEN claim van een eigen historische Babaji-gebeurtenis op deze exacte plek, en staat niet in AOAY zelf.",N.v.t. - het gebouw zelf is het geheel.,"Verlengt het Babaji-pelgrimsmoment met expliciete herdenking, zonder route-last, maar Mark moet weten dat dit een gedenkteken is en geen aparte historische gebeurtenisplek.",KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md; gebundeld binnen de Babaji-pelgrimswereld.,"A_PLUS_MARK_DECISION_LOG.md: 'preserved old-A sublocation, no later Mark downgrade found; bundle with Babaji world'; V2-reconciliatie item 12: 'described as a modern memorial/commemorative link; A009 cave remains the direct physical anchor'.",N.v.t. voor fysieke-aanwezigheidsclaim (er wordt geen claim gedaan) - het is een erkend modern gedenkteken.,15-30 min.,MATIG - huidige kaart ('Memorial/commemoration place... extends the cave visit with explicit Babaji memory') is redelijk correct maar mag explicieter het woord MODERN_MEMORIAL_ONLY gebruiken zodat dit nooit wordt verward met de grot zelf (A009) als historische gebeurtenisplek.
A009,KUM-06,A+,Mahavatar Babaji's Cave (Kukuchina-Dunagiri),Berggrot die in de Kriya-yogatraditie wordt geïdentificeerd als de grot waar Mahavatar Babaji verscheen en Lahiri Mahasaya initieerde; bereikbaar via een klim van ca. 2-3 km vanaf de lokale toegang.,Mahavatar Babaji; Lahiri Mahasaya,TRADITION_CLAIM,EXACT_MEETING_INITIATION_SITE (traditieclaim); EXACT_TEACHING_SITE (traditieclaim),"Volgens Lahiri Mahasaya's eigen verslag (Autobiography of a Yogi, hfst. 32-34, doorgegeven aan Yogananda via zowel Sri Yukteswar als Swami Kebalananda, die het rechtstreeks van Lahiri Mahasaya hoorden) werd hij in 1861, als overheidsklerk kort na overplaatsing bij Ranikhet, door een innerlijke roep de berg opgeleid, ontmoette daar een stralende jonge asceet (Babaji) die onder meer een paleis materialiseerde, en werd door hem in Kriya Yoga geïnitieerd. AOAY bevat een foto van de grot, bezocht door Lahiri Mahasaya's eigen kleinzoon (Ananda Mohan Lahiri). BELANGRIJKE NUANCE: AOAY zelf noemt de plek 'Drongiri Mountain, near Ranikhet' en gebruikt de namen 'Kukuchina' of 'Dunagiri' nergens. De identificatie van de huidige pelgrimsgrot bij Kukuchina/Dunagiri (ca. 25 km van Dwarahat) met AOAY's Drongiri-grot is een LATERE, institutionele/traditionele identificatielaag (tier C in het project's eigen Babaji-tiersysteem), niet een claim uit de primaire tekst zelf.",De grot zelf.,Dit is het ontstaansmoment van de hele Kriya Yoga-lijn waar Marks reis grotendeels om draait; Mark heeft deze plek zelf 'bijna reden 1 om naar India te gaan' genoemd.,"Marks eigen citaat: 'Die grot is bijna reden 1 voor me om naar India te gaan. A dus.' (2026-08-14, rechtstreeks in ChatGPT/INDIA-chat).",research/deep-research/MAHAVATAR-BABAJI-CAVE-A.md; research/deep-research/KUMAON-DEEP-RESEARCH-STATE.md; runs/active/TOP11-INDIA-PERSON-CENTRIC-MEGASWEEP-001/BABAJI_V2_PRE_EXTERNAL_FREEZE.md record 1 en 14; PROTECTED_CANON_BASELINE.csv id 079; decisions/BABAJI_MYTHIC_FIGURE_EVIDENCE_RULE_2026-08-19.md.,"Tier A (CLAIM_DOCUMENTED) binnen de Kriya-lijn zelf voor de GEBEURTENIS (Lahiri Mahasaya's eigen ooggetuigenverslag, dubbel doorverteld aan Yogananda); maar per het project's eigen BABAJI_MYTHIC_FIGURE_EVIDENCE_RULE geldt: HISTORICALLY_VERIFIED_BABAJI_PRESENCE = NIET_VASTSTELBAAR, als principiële regel. De geografische identificatie van de HUIDIGE grot met AOAY's 'Drongiri Mountain' is zelf een niet in AOAY-tekst gestaafde, latere laag.","Lang - dit rechtvaardigt een ruim, onthaast tijdsblok inclusief stilzitten in/bij de grot, niet alleen de klim en een foto.","GROOT - huidige kaart geeft goede context maar maakt niet expliciet dat (a) AOAY de plek 'Drongiri Mountain bij Ranikhet' noemt, niet de moderne trailhead-naam, en (b) de Kukuchina/Dunagiri-identificatie een latere institutionele laag is. Formuleer nooit 'Babaji was hier' als vastgestelde historische feit - alleen als document­eerde traditieclaim binnen de lijn, hoe centraal ook voor Marks eigen motivatie."
A010,KUM-10,A,"Yogoda Satsanga Sakha Ashram, Dwarahat","Een actief, hedendaags meditatiecentrum/ashram van de Yogoda Satsanga Society (YSS) - Yoganandas eigen organisatie - in Dwarahat, in de bredere Kriya/Babaji-regio.","Paramahansa Yogananda (institutioneel); Mahavatar Babaji, Lahiri Mahasaya, Sri Yukteswar (regionale Kriya-lijncontext, niet als eigen bezoekclaim)",NO_DIRECT_PRESENCE,LINEAGE_INSTITUTION,"Dit is een momenteel functionerend YSS-ashram/pelgrimscentrum, onderdeel van Yoganandas eigen organisatie die na zijn dood in 1952 is voortgezet. Er is in dit project GEEN documentatie gevonden dat Yogananda zelf dit specifieke Dwarahat-gebouw persoonlijk bezocht (de YSS-ashramindex bevestigt dit als HUIDIGE institutionele voetafdruk, niet als bewijs van Yoganandas eigen aanwezigheid). Het jaarlijkse kerst-meditatieprogramma (25 dec.) valt toevallig samen met de geplande bezoekdatum.",De meditatiehal voor het groepsprogramma.,"Een levende, actief werkende tak van Yoganandas eigen organisatie middenin het gebied waar de kern-Kriya-gebeurtenissen (Babaji-grot) plaatsvonden - geen scène uit AOAY zelf, maar een oprechte hedendaagse voortzetting van de traditie, met een verplichte volledige dag.","KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md: FULL DAY hard user requirement, no YSS overnight (Mark is Ananda-lijn, niet YSS/SRF); DECISION_LEDGER DL-0018.","runs/active/TOP11-INDIA-PERSON-CENTRIC-MEGASWEEP-001/YOGANANDA_V2_PRE_EXTERNAL_FINAL_FREEZE.md (YSS-ashramindex, yssofindia.org/ashrams); INDIA19_A79_V2_RECONCILIATION_2026-09-11.md item 11 ('modern YSS/Yogananda institution... not as separate proven physical AOAY events for all four Kriya figures').",STERK voor het institutionele bestaan/programma; GEEN bewijs/claim van Yoganandas eigen fysieke aanwezigheid op deze exacte plek - dit moet expliciet zo blijven staan.,"Volledige dag (hard vereist), inclusief deelname aan het lopende programma indien beschikbaar.","MATIG - huidige kaart ('Direct Yogananda/Kriya relevance') kan verkeerd worden gelezen als een persoonlijk-bezoek-claim. Verduidelijk expliciet: dit is een LINEAGE_INSTITUTION, geen door AOAY gedocumenteerde Yogananda-bezoeklocatie."
